timestamp_seconds,force_filtered,Time_S,Force_N
0.083282709,0.08,0,0.698
0.08338809,0.080000002,0.2,0.296
0.083465576,0.08,0.4,0.497
0.083544731,0.079999995,0.6,0.598
0.083626986,0.080000001,0.8,0.397
0.083699703,0.080000012,1,0.397
0.083774805,0.079999998,1.2,0.296
0.083846331,0.079999973,1.4,0.196
0.083916187,0.080000004,1.6,0.497
0.083992243,0.080000061,1.8,0.196
0.084060907,0.079999991,2,0.296
0.084133387,0.079999864,2.2,0.397
0.084200382,0.080000021,2.4,0.296
0.084269047,0.080000305,2.6,0.296
0.084342241,0.079999952,2.8,0.296
0.084407806,0.079999317,3,-0.005
0.084473372,0.080000107,3.2,0.397
0.084553003,0.08000153,3.4,0.095
0.084619045,0.079999761,3.6,0.397
0.084689856,0.079996574,3.8,0.296
0.084756851,0.080000535,4,-0.005
0.084820986,0.080007674,4.2,0.296
0.08488965,0.079998802,4.4,0.296
0.084954023,0.079982812,4.6,0.296
0.188753128,0.080002684,4.8,6.225
0.402044773,0.080038498,5,22.604
0.63981986,0.079993987,5.01,23.408
0.878592253,0.079913771,5.21,24.413
1.108172894,0.080013467,5.41,23.81
1.340439796,0.080193138,5.61,24.011
1.554266214,0.079969836,5.81,23.71
1.772847414,0.079567404,6.01,23.207
2.018740654,0.080067561,6.21,23.207
2.246946812,0.080968955,6.41,23.207
2.474396467,0.079848689,6.61,23.207
2.700185537,0.077829354,6.81,23.107
2.933067083,0.080338559,7.01,23.107
3.140639782,0.084870794,7.21,23.207
3.379523754,0.079250579,7.41,23.107
3.614492655,0.068864826,7.61,23.107
3.826199293,0.081453813,7.81,23.207
4.06171155,0.1106384,8.01,23.207
4.279442072,0.107424388,8.21,23.207
4.521586657,0.092375385,8.41,23.006
4.737485886,0.155995485,8.61,23.006
4.978075981,0.220715296,8.81,22.705
5.195976257,0.067461937,9.01,22.705
5.420351505,-0.098045278,9.21,22.805
5.667852402,0.517045146,9.41,22.504
5.888661623,2.413047867,9.61,22.805
6.118783474,5.180102365,9.81,22.604
6.333847046,8.185425541,10.01,22.604
6.56186533,11.21404384,10.21,22.906
6.799732924,13.97928671,10.41,22.504
7.021538973,15.82488077,10.61,22.705
7.25560832,16.47788943,10.81,22.705
7.481517315,16.48035795,11.01,22.504
7.706038952,16.4940635,11.21,22.805
7.936196804,16.64999335,11.41,22.604
8.166859865,16.77350836,11.61,22.604
8.401761293,16.81942403,11.81,22.805
8.612020493,16.87212997,12.01,22.504
8.843791485,16.95668911,12.21,22.604
9.078563452,17.02810795,12.41,22.504
9.294516087,17.06785073,12.61,22.504
9.534198284,17.09658187,12.81,22.604
9.773923635,17.12307549,13.01,22.504
9.991018057,17.14000386,13.21,22.403
10.20992804,17.1576162,13.41,22.403
10.44831586,17.19500875,13.61,22.504
10.68221188,17.23995295,13.81,22.403
10.89224219,17.25708457,14.01,22.403
11.13096333,17.23921924,14.21,22.403
11.35013223,17.21432953,14.41,22.403
11.59309006,17.19882566,14.61,22.504
11.81383085,17.18760442,14.81,22.403
12.0308392,17.19623604,15.01,22.403
12.26629472,17.25563221,15.21,22.403
12.50261998,17.34950301,15.41,22.403
12.73694301,17.41667697,15.61,22.403
12.94877434,17.43105509,15.81,22.403
13.18548894,17.4265367,16.01,22.403
13.40409851,17.43681214,16.21,22.403
13.64676142,17.45927804,16.41,22.403
13.86394477,17.48308365,16.61,22.403
14.08257532,17.51005835,16.81,22.403
14.31718302,17.53776221,17.01,22.403
14.55370474,17.55419884,17.21,22.403
14.78840709,17.56000723,17.41,22.403
14.99919724,17.57202631,17.61,22.403
15.23630595,17.59828836,17.81,22.403
15.45625114,17.62843256,18.01,22.403
15.69657636,17.65199406,18.21,22.403
15.91296768,17.66942082,18.41,22.403
16.15460706,17.68101638,18.61,22.403
16.36896276,17.68000272,18.81,22.403
16.60724354,17.66487595,19.01,22.403
16.81837273,17.64732882,19.21,22.403
17.05378938,17.63820458,19.41,22.303
17.29674149,17.63738732,19.61,22.403
17.51494241,17.64850221,19.81,22.303
17.73399329,17.68564058,20.01,22.403
17.97572374,17.74507431,20.02,22.403
18.19579577,17.78974142,20.22,1.904
18.43257022,17.79816038,20.42,0.497
18.64611363,17.81322583,20.62,0.095
18.88213921,17.88504094,20.82,0.397
19.11834288,17.98245409,21.02,0.296
19.33874869,18.04704385,21.22,0.296
19.55792761,18.09207748,21.42,0.397
19.79901338,18.11634153,21.62,0.196
20.016397,18.02998008,21.82,0.296
20.25127673,17.8900613,22.02,0.497
20.48682141,17.97819424,22.22,0.296
20.69903159,18.1971079,22.42,0.296
20.93374491,17.67633221,22.62,0.397
21.16834521,15.65708105,22.82,0.296
21.38596153,12.48758138,23.02,0.598
21.62826991,9.036119698,23.22,0.296
21.84578562,5.655047985,23.42,0.598
22.06517196,2.55889259,23.62,0.497
22.29929948,0.462463862,23.82,0.296
22.53830767,-0.182748586,24.02,0.296
22.75234485,0.024042104,24.22,0.296
22.98891234,0.186046575,24.42,0.598
23.2021656,0.100425768,24.62,0.698
23.44297838,0.032984734,24.82,0.497
23.66156673,0.071095096,,
23.9029274,0.101235009,,
24.12093139,0.083890793,,
24.35765886,0.069932875,,
24.57272792,0.078437454,,
24.80673647,0.085809768,,
