timestamp_seconds,force_value
0.08216166496276855,0.08
0.08223795890808105,0.08
0.08230233192443848,0.08
0.08236551284790039,1.17
0.0824277400970459,0.08
0.082489013671875,0.08
0.0825498104095459,0.08
0.0826108455657959,0.08
0.082672119140625,0.08
0.0827329158782959,0.08
0.0827944278717041,0.08
0.08285665512084961,0.08
0.08291745185852051,0.08
0.08297848701477051,0.08
0.08303952217102051,0.08
0.0831000804901123,0.08
0.08325648307800293,0.08
0.08332276344299316,0.08
0.08338451385498047,0.08
0.08344578742980957,0.08
0.08350777626037598,0.08
0.08356928825378418,0.08
0.08363032341003418,0.08
0.08369970321655273,0.08
0.08376002311706543,0.08
0.08382129669189453,0.08
0.08388304710388184,0.08
0.08394455909729004,0.08
0.08400511741638184,0.08
0.08406591415405273,0.08
0.08412647247314453,0.08
0.08418703079223633,0.08
0.08424711227416992,0.08
0.08430767059326172,0.08
0.08438920974731445,0.08
0.08445072174072266,0.08
0.08451199531555176,0.08
0.08457231521606445,0.08
0.08463406562805176,0.08
0.08469605445861816,0.08
0.08476066589355469,0.08
0.0848236083984375,0.08
0.08488750457763672,0.08
0.08494782447814941,0.08
0.08500838279724121,0.08
0.13479137420654297,0.08
0.16511082649230957,0.08
0.19267988204956055,0.08
0.21733617782592773,0.08
0.2468414306640625,0.08
0.2745637893676758,0.08
0.328685998916626,0.08
0.355715274810791,0.08
0.38243603706359863,0.08
0.4086265563964844,1.07
0.4363267421722412,0.08
0.48894715309143066,0.08
0.5166301727294922,0.08
0.5451920032501221,0.08
0.5736417770385742,0.08
0.6004939079284668,0.08
0.6283066272735596,0.08
0.6556036472320557,0.08
0.7113845348358154,0.08
0.7400214672088623,0.08
0.7676181793212891,0.08
0.7983794212341309,0.08
0.8258218765258789,0.08
0.8541631698608398,1.21
0.8817610740661621,0.08
0.9358947277069092,0.08
0.9623417854309082,0.08
0.9896221160888672,0.08
1.01717209815979,0.08
1.0461080074310303,0.08
1.0735089778900146,0.08
1.1014914512634277,0.08
1.1569437980651855,0.08
1.1850321292877197,0.08
1.2122888565063477,0.08
1.2393114566802979,0.08
1.267545223236084,0.08
1.292086124420166,0.08
1.3422048091888428,0.08
1.3673896789550781,0.08
1.391390323638916,0.08
1.4401178359985352,0.08
1.4645609855651855,0.08
1.4891700744628906,0.08
1.5390527248382568,0.08
1.563969373703003,0.08
1.590456247329712,0.08
1.615236520767212,0.08
1.6656925678253174,0.08
1.6905896663665771,0.08
1.7171027660369873,0.08
1.741697072982788,0.13
1.7912654876708984,0.08
1.8168787956237793,0.08
1.8418691158294678,0.08
1.866424322128296,0.08
1.9170958995819092,0.08
1.9419441223144531,0.08
1.9674708843231201,0.08
1.9942669868469238,0.08
2.044036388397217,0.08
2.069784641265869,0.08
2.095263719558716,0.08
2.120549201965332,0.08
2.1737539768218994,0.08
2.199922561645508,0.08
2.2259726524353027,0.08
2.2507216930389404,0.08
2.2997379302978516,0.08
2.325090169906616,0.08
2.350764036178589,0.08
2.3783907890319824,0.08
2.430455207824707,0.08
2.4554593563079834,0.08
2.4809694290161133,0.08
2.5067546367645264,0.08
2.558967113494873,0.08
2.5860517024993896,0.25
2.6118288040161133,0.87
2.638079881668091,2.47
2.66654109954834,2.78
2.716352701187134,3.79
2.741447925567627,4.55
2.7668182849884033,4.11
2.7929930686950684,5.24
2.8463621139526367,5.39
2.8736343383789062,5.3
2.9002137184143066,5.44
2.9264867305755615,5.45
2.9535958766937256,5.56
2.9802725315093994,5.88
3.033069133758545,6.33
3.061432123184204,6.65
3.0892081260681152,7.06
3.1187634468078613,7.61
3.1443867683410645,7.87
3.193912982940674,8.45
3.2184181213378906,9.64
3.241943597793579,10.89
3.2671594619750977,12.35
3.3199846744537354,13.09
3.347449541091919,13.83
3.3748815059661865,14.58
3.402845621109009,15.47
3.4298598766326904,16.01
3.4846863746643066,16.82
3.5119681358337402,17.46
3.535245180130005,18.09
3.559612512588501,19.1
3.6083970069885254,19.38
3.6325621604919434,19.76
3.6579461097717285,20.34
3.682863473892212,20.5
3.7337543964385986,21.04
3.756164312362671,21.23
3.7777645587921143,21.37
3.821164131164551,21.4
3.842238426208496,21.51
3.888230800628662,21.64
3.9092819690704346,21.76
3.9501395225524902,21.79
3.970278263092041,21.66
4.011165142059326,21.93
4.032477617263794,22.13
